supplier_id,supplier_name,supplier_type,city,state,contact_person,phone,email,rating,lead_time_days,payment_terms_days,defect_rate_percent,on_time_delivery_percent
1,Pathak-Narula Pvt Ltd,Importer,Bengaluru,Karnataka,Jagrati Kadakia,163839919,nidrachakraborty@parsa.org,3.1,4,15,3.08,97.88
2,Gandhi-Devi Pvt Ltd,Manufacturer,Mysuru,Karnataka,Vritti Andra,9018873197,samuelmalhotra@sarraf.com,2.6,5,30,2.32,82.47
3,Behl and Sons Pvt Ltd,Distributor,New Delhi,Delhi,Chandran Rao,3621948181,kondairya@sule.biz,3.6,6,15,3.44,84.84
4,Luthra-Rajagopalan Pvt Ltd,Importer,Indore,Madhya Pradesh,Falak Basak,7299653010,zdey@dalal.com,2.9,14,45,0.55,88.76
5,Andra Ltd Pvt Ltd,Importer,Kolkata,West Bengal,Upkaar Aggarwal,4791115581,tandonzaid@soman.com,4.5,13,60,2.46,99.32
6,Dewan-Varkey Pvt Ltd,Importer,Bhopal,Madhya Pradesh,Zaitra Anand,3126276716,divyasha@patil.com,4.6,11,45,2.64,94.54
7,"Virk, Narula and Gupta Pvt Ltd",Distributor,Nagpur,Maharashtra,Viraj Suresh,3677939095,zarnauppal@nayak.com,4.4,3,30,3.91,88.77
8,Grewal-Borah Pvt Ltd,Distributor,Jaipur,Rajasthan,Bhavani Munshi,3581874788,ysem@kurian-bajwa.com,3.4,5,45,3.19,94.17
9,Sampath-Narula Pvt Ltd,Distributor,Bengaluru,Karnataka,Qabil Bawa,3382404325,upkaarparmer@basu.biz,2.9,8,45,4.45,93.39
10,Muni-Suri Pvt Ltd,Importer,Hyderabad,Telangana,Ganga Sankar,5844121005,chakradhar70@chandra.com,4.6,14,15,1.11,82.57
11,Sur-Pau Pvt Ltd,Importer,Kolkata,West Bengal,Bakhshi Garg,6508611639,oviyasant@saha.com,2.7,11,45,1.04,90.89
12,Loyal Ltd Pvt Ltd,Importer,Jaipur,Rajasthan,Varenya Sankar,3643154702,isabharwal@bath.com,2.8,13,45,3.39,89.63
13,Anand Group Pvt Ltd,Importer,Noida,Uttar Pradesh,Gayathri Mistry,9230678708,sankarkai@sangha-anand.com,3,4,60,0.5,82.84
14,Ghose-Tandon Pvt Ltd,Distributor,Bengaluru,Karnataka,Ishwar Mall,6303664724,sagarunnati@varkey.com,4.5,8,15,1.79,92.61
15,Bedi Group Pvt Ltd,Manufacturer,Jaipur,Rajasthan,Joshua Borde,7394460354,jalsakapadia@hora-mann.info,4.2,3,45,3.48,88.06
16,"Dey, Kale and Mittal Pvt Ltd",Distributor,Surat,Gujarat,Noah Padmanabhan,8288013552,bavautkarsh@puri-pau.net,3.6,13,45,4.38,95.56
17,Grover-Chauhan Pvt Ltd,Importer,Hyderabad,Telangana,Oviya Sule,3126394482,pbiswas@kumer.info,4.6,10,30,0.77,95.57
